,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F
OP4,11%,75%,,,100%,,,,,,,,,,,,,42%,,,43%,,,4%,,,1%,,,,100%,,,,,,,,,,,,,18%,,,68%,,,3%,,
FOP2,36%,79%,,,78%,,,,,,,,,,,,,36%,,,64%,,,10%,,,2%,6%,,,63%,1%,,,,,,,,,,,,4%,,,92%,,,1%,,
FOP1,81%,94%,,,87%,,,,,,,,,,,,,65%,,,36%,,,26%,,,68%,56%,,,90%,,,,,,,,,0%,,,,22%,,,96%,,,26%,,
43,91%,99%,,,100%,0%,,,,,,,,,,,,94%,,,74%,,,23%,,,90%,39%,,,100%,,,,,,,,,,,,,98%,,,99%,,,90%,,
1,5%,37%,,0%,98%,100%,6%,,,,,,,,,,90%,10%,,8%,100%,,23%,93%,,,,,,1%,99%,94%,5%,,,,,,,,,,75%,,,0%,100%,,,91%,,
3a,14%,74%,,,99%,100%,2%,,,,,,,,,,99%,51%,,,98%,,1%,97%,,,0%,,,,100%,34%,8%,,,,,,,,,,99%,22%,,,95%,,,98%,,
3b,14%,61%,,,96%,100%,5%,,,,,,,,,,98%,23%,,0%,100%,,3%,95%,,,1%,,,,98%,94%,8%,,,,,,,,,,91%,25%,,,100%,,,95%,,
4,82%,95%,,,99%,100%,43%,1%,,,,,,,,,100%,88%,,,100%,,0%,100%,,,24%,1%,,,100%,100%,56%,,,,,,,,,,100%,85%,,,100%,,,100%,,
24dd,,,,,,,100%,22%,,,,,,,,,0%,,,,4%,,,6%,,,0%,,,,,,100%,49%,2%,,,,,,,,,,,,8%,,,27%,,
5m,,,,0%,,,97%,8%,,,,,,,,,,,,4%,16%,,11%,34%,,,,,,,,,98%,36%,1%,,,,,,,,0%,,,,18%,,,55%,,
31a,,,,,,,100%,91%,66%,,,,,,,,,,,,,,,0%,,,,,,,,,98%,100%,53%,,1%,,,,,,,,,,,,0%,0%,,
23c,,,,,,,100%,97%,22%,1%,,,,,,,,,,0%,,,2%,1%,,,,,,,,,100%,100%,50%,1%,0%,,,,,,,,,,0%,,0%,1%,,
p32pr,0%,,,,,,100%,100%,10%,88%,,,,,,,,,,,2%,,,9%,,,,,,,,,100%,100%,24%,73%,,,,,,,,,,,2%,,,3%,,
24dv,,,,,,,100%,95%,7%,11%,,,,,,,,,,,1%,,,3%,,,0%,,,,,,100%,54%,3%,0%,,,,,,,,,,,1%,,,3%,,
a24pr,,,,,,,97%,100%,100%,53%,,,,,,,,,,,0%,,,0%,,,,,,,,,81%,100%,99%,80%,,,,,,,,,,,,,,,,
p24pr,,,,,,,99%,97%,100%,14%,,,,,,,,,,,,,,,,,,,,,,,99%,100%,78%,19%,,,,,,,,,,,0%,,,,,
33pr,,,,,,,3%,61%,100%,71%,,,,,,,,,,,,,,,,,,,,,,,0%,100%,100%,78%,,,,,,,,,,,,,,,,
23d,,,,,,,63%,88%,100%,14%,,,,,,,,,,,,,,,,,,,,,,,91%,100%,96%,34%,,,,,,,,,,,,,,,,
